Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C3",0805,3,100n,
C2,0805,1,330n,
C4,0805,1,10u,
C5,0805,1,1u,
"C6, C7",CP_Elec_10x10,2,470u,
"C8, C9",Capacitor_L38.0mm_D18.0mm_P10_Horizontal,2,10.000uF,
D1,TO-220-2_Horizontal_TabDown,1,D,
"J2, J4, J5, J6, J7","TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal",5,Screw_Terminal_01x03,
J3,PinHeader_1x06_P2.54mm_Horizontal,1,Conn_01x06_Socket,
J8,TerminalBlock_MetzConnect_Type701_RT11L03HGLU_1x03_P6.35mm_Horizontal,1,Screw_Terminal_01x03,
"Q1, Q10, Q4, Q7",TO-92_Inline,4,BC327,
"Q11, Q2, Q5, Q8",TO-92_Inline,4,BC337,
Q12,TO-252-3_TabPin2_D4185,1,D4185,
"Q13, Q3, Q6, Q9",SOT-23,4,AO3400A,
Q14,TO-92_Inline,1,BC547,
R1,1206,1,4k7,
"R10, R13, R15, R18, R2, R20, R24, R3, R5, R8",1206,10,10k,
"R11, R12, R16, R17, R21, R22, R26, R27, R28, R30, R6, R7",1206,12,1k,
"R14, R19, R4, R9",1206,4,22k,
R23,1206,1,10k/DNP,
R25,1206,1,DNP,
R29,1206,1,2k2,
SW1,SW_PUSH_6mm_H5mm,1,Boot,
U1,SO-16_3.9x9.9mm_P1.27mm,1,4049,
U2,ESP32-Wroom-32,1,ESP32-WROOM-32,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
