Designator,Mid X,Mid Y,Rotation,Layer
C1,49.84,-137.97,180.0,top
C10,51.475,-157.3325,270.0,top
C2,51.73,-149.52,180.0,top
C3,47.56,-131.54,180.0,top
C4,47.6,-133.53,180.0,top
C5,51.43,-131.16,0.0,top
C6,99.16,-135.89,270.0,top
C7,66.49,-145.8875,90.0,top
C8,120.5,-112.53,90.0,top
C9,79.32,-117.92,90.0,top
D1,105.91,-115.51,180.0,top
FID1,130.18,-177.58,0.0,top
FID2,48.07,-92.75,0.0,top
FID3,136.15,-100.11,0.0,top
J2,54.05,-173.73,0.0,top
J3,60.11,-97.045,90.0,top
J4,71.02325,-173.7301,0.0,top
J5,104.96975,-173.7428,0.0,top
J6,121.943,-173.762536,0.0,top
J7,87.9965,-173.7428,0.0,top
J8,100.16,-98.2,0.0,top
Q1,82.944,-154.112389,90.0,top
Q10,126.8307,-154.137788,90.0,top
Q11,126.8307,-159.624188,270.0,top
Q12,58.735,-156.195,270.0,top
Q13,91.065,-161.886188,180.0,top
Q14,58.22,-141.32,0.0,top
Q2,82.944,-159.624189,270.0,top
Q3,103.97,-162.106188,180.0,top
Q4,96.2012,-154.158955,90.0,top
Q5,96.2025,-159.626188,270.0,top
Q6,119.76,-162.276188,180.0,top
Q7,111.9612,-154.163189,90.0,top
Q8,111.9612,-159.649589,270.0,top
Q9,134.715,-161.906188,180.0,top
R1,50.36,-101.08,270.0,top
R10,92.4928,-156.902155,270.0,top
R11,101.205,-158.057855,180.0,top
R12,99.8725,-161.886188,90.0,top
R13,118.4725,-152.046188,90.0,top
R14,116.9186,-155.737989,0.0,top
R15,108.1556,-156.906389,270.0,top
R16,116.9186,-158.074789,180.0,top
R17,115.5825,-162.206188,90.0,top
R18,133.3425,-151.976188,90.0,top
R19,131.7837,-155.721055,0.0,top
R2,51.96,-133.37,0.0,top
R20,122.3857,-156.880988,270.0,top
R21,131.7837,-158.040921,180.0,top
R22,130.4625,-161.813688,90.0,top
R23,67.49,-127.2575,90.0,top
R24,48.2475,-97.33,0.0,top
R26,42.025,-165.47,270.0,top
R27,44.43,-165.47,270.0,top
R28,46.835,-165.47,270.0,top
R29,56.48,-146.29,270.0,top
R3,89.3925,-152.028688,90.0,top
R30,59.78,-106.13,270.0,top
R4,87.8287,-155.712589,0.0,top
R5,79.3328,-156.868289,270.0,top
R6,87.8287,-158.023989,180.0,top
R7,86.5325,-161.773688,90.0,top
R8,102.7625,-152.023688,90.0,top
R9,101.205,-155.729522,0.0,top
SW1,44.25,-102.55,0.0,top
U1,45.14,-157.035,270.0,top
U2,50.433,-118.9432,90.0,top
U3,51.5,-143.39,270.0,top
